INPUT:image	INPUT:selection	INPUT:assignment_id
https://tlk.s3.yandex.net/sdc/photos/021dfd3095f1b331a387226b8c1b3b5d.jpg	"[{""type"":""rectangle"",""data"":{""p1"":{""x"":0.01389,""y"":0.61703},""p2"":{""x"":0.02983,""y"":0.65111}}},{""type"":""rectangle"",""data"":{""p1"":{""x"":0.53261,""y"":0.42547},""p2"":{""x"":0.55678,""y"":0.49362}}},{""type"":""rectangle"",""data"":{""p1"":{""x"":0.89766,""y"":0.34113},""p2"":{""x"":0.99435,""y"":0.503}}},{""type"":""rectangle"",""data"":{""p1"":{""x"":0.42357,""y"":0.64741},""p2"":{""x"":0.43437,""y"":0.66135}}},{""type"":""rectangle"",""data"":{""p1"":{""x"":0.42546,""y"":0.63803},""p2"":{""x"":0.43574,""y"":0.66668}}}]"	00014d7907--603b93abcf91f32485445621
https://tlk.s3.yandex.net/sdc/photos/93b403056e13ed42a39d9474885e7e3a.jpg	"[{""type"":""rectangle"",""data"":{""p1"":{""x"":6.6E-4,""y"":0.00592},""p2"":{""x"":0.08912,""y"":0.24474}}}]"	00014d7907--603b93b4cbcf512b7fd48bf4
https://tlk.s3.yandex.net/sdc/photos/60e8f4ed537a474a27b3185f59bf4c83.jpg	"[{""type"":""rectangle"",""data"":{""p1"":{""x"":0.43655,""y"":0.45227},""p2"":{""x"":0.44162,""y"":0.48412}}},{""type"":""rectangle"",""data"":{""p1"":{""x"":0.56768,""y"":0.59369},""p2"":{""x"":0.57191,""y"":0.62427}}},{""type"":""rectangle"",""data"":{""p1"":{""x"":0.25465,""y"":0.59879},""p2"":{""x"":0.2665,""y"":0.61407}}}]"	00014d7907--603b93b4cf91f324854456b0
https://tlk.s3.yandex.net/sdc/photos/91b271fa927545d0ee74050c4d27accd.jpg	"[{""type"":""rectangle"",""data"":{""p1"":{""x"":0.61897,""y"":0.58216},""p2"":{""x"":0.64199,""y"":0.63376}}}]"	00014d7907--603b93c18f3a5b03017624ff
https://tlk.s3.yandex.net/sdc/photos/60be32b05d73de0492c4d55b2466fd21.jpg	"[{""type"":""rectangle"",""data"":{""p1"":{""x"":0.59141,""y"":0.61176},""p2"":{""x"":0.62344,""y"":0.65059}}},{""type"":""rectangle"",""data"":{""p1"":{""x"":0.42188,""y"":0.62824},""p2"":{""x"":0.42813,""y"":0.63882}}}]"	00014d7907--603b93c3cc257336572025a6
https://tlk.s3.yandex.net/sdc/photos/58ceb3c4548f8a7f0b065c6519533ba6.jpg	"[{""type"":""rectangle"",""data"":{""p1"":{""x"":0.14581,""y"":0.56929},""p2"":{""x"":0.18182,""y"":0.65061}}},{""type"":""rectangle"",""data"":{""p1"":{""x"":0.24932,""y"":0.5598},""p2"":{""x"":0.28173,""y"":0.6479}}},{""type"":""rectangle"",""data"":{""p1"":{""x"":0.85959,""y"":0.07455},""p2"":{""x"":0.9991,""y"":0.51507}}},{""type"":""rectangle"",""data"":{""p1"":{""x"":0.69397,""y"":0.54218},""p2"":{""x"":0.73987,""y"":0.63841}}}]"	00014d7907--603b93c8901bc7123a3d7683
https://tlk.s3.yandex.net/sdc/photos/53d989d52a9b781c228951348119d897.jpg	"[{""type"":""rectangle"",""data"":{""p1"":{""x"":0.79375,""y"":0.44259},""p2"":{""x"":0.76797,""y"":0.39537}}},{""type"":""rectangle"",""data"":{""p1"":{""x"":0.40859,""y"":0.55185},""p2"":{""x"":0.38516,""y"":0.52222}}},{""type"":""rectangle"",""data"":{""p1"":{""x"":0.92422,""y"":0.51667},""p2"":{""x"":0.94609,""y"":0.53333}}}]"	00014d7907--603b93ca3c636f34071e5b5d
https://tlk.s3.yandex.net/sdc/photos/85ab188be5dddef907ded786209dc620.jpg	"[{""type"":""rectangle"",""data"":{""p1"":{""x"":0.53359,""y"":0.62778},""p2"":{""x"":0.55391,""y"":0.58148}}}]"	00014d7907--603b93ca54b7e0182020e494
https://tlk.s3.yandex.net/sdc/photos/92ba1ff244d8242fd361cca1b61da79c.jpg	"[{""type"":""rectangle"",""data"":{""p1"":{""x"":0.13912,""y"":0.39765},""p2"":{""x"":0.15957,""y"":0.45584}}}]"	00014d7907--603b93cf8f5d4e00e545205d
https://tlk.s3.yandex.net/sdc/photos/73d331fac1bcc3a2df0facf83d16d2ca.jpg	"[{""type"":""rectangle"",""data"":{""p1"":{""x"":0.29922,""y"":0.58353},""p2"":{""x"":0.25547,""y"":0.64235}}},{""type"":""rectangle"",""data"":{""p1"":{""x"":0.81719,""y"":0.58941},""p2"":{""x"":0.79766,""y"":0.64706}}}]"	00014d7907--603b93d07dc9ce73e6d7a84d
