INPUT:id	INPUT:text	OUTPUT:label	ASSIGNMENT:worker_id	ASSIGNMENT:assignment_id
0	экскурсии  вторник и четверг 12:15, 13:30, 14:45. Экскурсии	not_add	7f556991-fce1-4e92-b06a-35d77de4d49c	da5b63fa-959d-4eb9-8edc-49591b9e2856
0	экскурсии  вторник и четверг 12:15, 13:30, 14:45. Экскурсии	ban_shock_content	5efa9eb0-0a29-4830-a518-6845c665c6ac	053a8697-9b26-4310-a134-6e82f01d042d
0	экскурсии  вторник и четверг 12:15, 13:30, 14:45. Экскурсии	not_add	dd6741c3-a52a-4bc5-bb21-988e9bac12a6	7b61c549-b6b1-4ed7-877c-af7066f9f851
1	Мойка самообслуживания 24/7 Аллес Гуд. Работаем 24/7	ad	eb469a2c-41e7-4f83-afc6-51921d8c6dd4	9a2cac6c-a537-448e-a680-45b459b40960
1	Мойка самообслуживания 24/7 Аллес Гуд. Работаем 24/7	not_ad	4f1198f8-251a-45d5-985b-427669d8f1c2	6311ed51-0c6a-4d7f-8f29-475d340ea0b5
1	Мойка самообслуживания 24/7 Аллес Гуд. Работаем 24/7	not_add	490cc1b8-025b-4787-8833-732d5a957ccd	e5e6f9d5-8263-40d8-807e-fda72394962e
2	Строительные работы, мелкие работы.. Наш сайт universal-22.ru	not_ad	00c7f3fd-e750-443b-a236-b4515711f7ae	b5c0a65c-cffd-43a0-a08a-95f726cd3e60
2	Строительные работы, мелкие работы.. Наш сайт universal-22.ru	not_add	4cbcdf4c-e35b-4938-b5a3-b585b3300cd4	91af6ad0-3ddc-4b5a-88e0-cc875e88ef37
2	Строительные работы, мелкие работы.. Наш сайт universal-22.ru	not_ad	17d68c6f-f5ea-48f5-ad1e-53ffdd2bb29a	d1bc1d23-fdf5-4cc2-943d-8dfc6aebabcb
3	Приму заказ на парфюм. С ног сшибательны аромат	ad	f7d98cb6-4bb9-49f3-8799-5937d931e05e	1f631057-4d66-465c-aaa2-3b96b49b1425
3	Приму заказ на парфюм. С ног сшибательны аромат	not_add	b68cb871-f007-46f0-adf8-2f2a1d0a7fb8	d061ddb7-974a-4726-9229-fd2ea48b3239
3	Приму заказ на парфюм. С ног сшибательны аромат	not_add	5efa9eb0-0a29-4830-a518-6845c665c6ac	71958586-04b6-4620-9ff1-4f856016e837
4	✅Мы предлагаем приобрести б/у технику в нашем магазине!. Бытовая техника бу от 6000р.	not_add	a76dbf0a-3f9e-4038-9e09-d12be0f1076e	e1e68a66-a816-42f2-bbbe-64bf87ccc497
4	✅Мы предлагаем приобрести б/у технику в нашем магазине!. Бытовая техника бу от 6000р.	not_ad	7db4c329-82e8-46ff-bf02-894fd32b6047	ea45cd81-f705-4298-a1d8-51407e8faac6
4	✅Мы предлагаем приобрести б/у технику в нашем магазине!. Бытовая техника бу от 6000р.	ban_shock_content	a5f6b459-9c05-4ab5-b778-59034cc7e40d	5fa3d647-38a2-4077-8e30-6c535af93e1f
5	Услуга выезда дизайнера по шторам. Шторы жалюзи каарнизы в Рвменском	ban_shock_content	1ae60848-f894-40e1-ac71-9baddf764f66	ec326a7a-cc66-4b3f-9414-1da678e241e7
5	Услуга выезда дизайнера по шторам. Шторы жалюзи каарнизы в Рвменском	not_ad	0e4e6681-594f-4572-9e36-10baaec84adb	0d9e1c8b-8c54-4a87-8082-38a14006ea8c
5	Услуга выезда дизайнера по шторам. Шторы жалюзи каарнизы в Рвменском	ban_shock_content	b305e0d2-7fbc-4abd-986f-0a4c2892f22e	c8ddbddf-4ab5-46e2-b98f-62c151a3bc31
6	Ленинградская область. Эльбрус Удаление деревьев частями	not_ad	ac0f1983-d622-4be9-a59a-fa94ba695e24	6bf5860d-a6b6-4707-a5ae-cd6f2642122f
6	Ленинградская область. Эльбрус Удаление деревьев частями	ad	d46a20d2-7c48-40ab-91e2-0d225ee4d379	9970fdb8-abbb-4b23-a1f1-c606ab870631
6	Ленинградская область. Эльбрус Удаление деревьев частями	ad	dfc40f22-a84e-467d-9ca2-a1664c1f63fb	b0b35407-199d-4022-9986-17421afcbd49
7	Натяжные потолки 75111. Качество, гарантия,доступная цена.	not_add	09cdd171-27a8-4281-bf23-2d124e5be5ca	d69d4606-08b7-4167-9d79-739e2f5efa36
7	Натяжные потолки 75111. Качество, гарантия,доступная цена.	ban_shock_content	cd7bad54-a02c-4926-86f4-397b527ab2ac	05eaa4e9-a0b3-4be4-b2cc-5d6321faa299
7	Натяжные потолки 75111. Качество, гарантия,доступная цена.	not_ad	f755011b-1153-4d88-9ebc-62bde42253c2	3fd92b58-b487-4459-a167-e060d152939c
8	Обращайтесь в любое время. Выполняю заказ Недорого и Качественно	not_ad	3fa1cd91-c8ad-479f-86d0-edab5830a8ea	52b71016-16d4-46cb-936d-adfc50b1bee7
8	Обращайтесь в любое время. Выполняю заказ Недорого и Качественно	not_ad	f5140909-0ad6-401d-9e14-ae9a813cd4c2	a862dd21-da71-49bf-a4a4-12a750491586
8	Обращайтесь в любое время. Выполняю заказ Недорого и Качественно	not_add	535839ce-88f7-4aeb-bab4-07794e06930e	6dc411d3-ada6-455e-b7dc-2f0ed6d393b2
9	Лежанки с гамаком снова в наличии 😺. Размеры: 48*48*48см Можно стирать Цена: 1500₽	ad	eef62010-f920-4cc1-b569-174f7b421beb	3d52721d-d026-4034-acc4-49a2f61754bb
9	Лежанки с гамаком снова в наличии 😺. Размеры: 48*48*48см Можно стирать Цена: 1500₽	ad	ae3861fa-333e-4ad1-b888-de44eea13bce	a9192e4f-332c-4946-87f3-b81694923bad
9	Лежанки с гамаком снова в наличии 😺. Размеры: 48*48*48см Можно стирать Цена: 1500₽	ad	732db3ae-18f4-465f-97c5-1745bd9d21aa	947d77a6-8417-43b2-b573-49411345e039
10	Автозапчасти. Запчасти для иномарок с доставкой http://cardan26.ru/	ad	958c2079-06f6-4e40-a872-04defa9e9226	a3cf1972-1414-4eeb-8d31-f39774dd9d49
10	Автозапчасти. Запчасти для иномарок с доставкой http://cardan26.ru/	ban_shock_content	b68cb871-f007-46f0-adf8-2f2a1d0a7fb8	d444e66a-f616-4efd-8c61-ffb5c1bc0b7b
10	Автозапчасти. Запчасти для иномарок с доставкой http://cardan26.ru/	ad	156ece0c-c87f-471d-a70f-5aa846d1f0c3	fbb52f9b-a6d6-4d9b-880b-9a74edea9630
11	Ремонт стиральных машин. Установка диагностика ремонт  https://classmaster.simdif.com	not_add	dffe28de-9dea-475e-9abf-239498c78e54	91098eed-f570-4b4e-a2a2-489c0bb73403
11	Ремонт стиральных машин. Установка диагностика ремонт  https://classmaster.simdif.com	ad	ee5276b8-8085-4ebc-ba3b-7c2ac3da0aab	62938f17-b892-4e76-900b-55c49e828c79
11	Ремонт стиральных машин. Установка диагностика ремонт  https://classmaster.simdif.com	ad	f966a7d9-0d32-40ec-b0f8-46804664d69a	cb7c9123-54eb-422c-a3be-4c891d927552
12	Приглашаю к сотрудничеству!. Элитная корейская косметика и уход за домом! 8(916)5895625	ban_shock_content	1d0f4d88-8c9c-433a-8987-b973dba7b86a	c9a8933e-3732-4ef7-b672-f980b68fe1ec
12	Приглашаю к сотрудничеству!. Элитная корейская косметика и уход за домом! 8(916)5895625	not_ad	dd6741c3-a52a-4bc5-bb21-988e9bac12a6	469b13a2-4c8d-452a-a70e-fd3ec6bb8009
12	Приглашаю к сотрудничеству!. Элитная корейская косметика и уход за домом! 8(916)5895625	not_add	aa82203a-0494-4ca6-bf0a-fc59a100485c	b07a0583-c13e-492e-804f-472a9c833bb8
13	Акция осенью 2020. Осенью  скидка 15% на ремонт индукционных плит на дому!	not_add	947baee3-4a78-4299-8c9c-63f34bdea67a	ff7239db-8d8b-4730-b158-acb6586732bf
13	Акция осенью 2020. Осенью  скидка 15% на ремонт индукционных плит на дому!	ban_shock_content	f28ec37c-17a5-4daf-9d93-60eb97dd1e35	026fe8e4-a6f2-43ae-ae81-d9f5cfded73f
13	Акция осенью 2020. Осенью  скидка 15% на ремонт индукционных плит на дому!	not_add	542cd7ed-d2ee-4fe5-8a9e-3681dc589e79	22a48472-8cb1-4218-811c-45c9007cf7b0
14	"""Black Gryphon"" Studio Shutterstock. https://www.shutterstock.com/image-vector/lines-colorful-abstract-cloth-fashion-graphic-1232119195"	not_add	93c0b3e9-8ead-4087-9efe-0a2bae4fac78	8704a5bf-37ca-430d-82cf-43f458b84b39
14	"""Black Gryphon"" Studio Shutterstock. https://www.shutterstock.com/image-vector/lines-colorful-abstract-cloth-fashion-graphic-1232119195"	not_add	89223bcd-f90c-4ce9-9fa0-57c2b5c68ca5	e9b93466-6758-4994-876b-0c68078c0c2e
14	"""Black Gryphon"" Studio Shutterstock. https://www.shutterstock.com/image-vector/lines-colorful-abstract-cloth-fashion-graphic-1232119195"	not_add	1e496f52-5183-4050-afe8-8d82e5f8d725	8b39aa2e-bb03-49ba-8872-fe3a8fc2e795
15	ДОРОГО КУПЛЮ ВАШ АВТОМОБИЛЬ. ДОРОГО КУПЛЮ ВАШ АВТОМОБИЛЬ В ЛЮБОМ СОСТОЯНИИ  8904-057-91-81	not_ad	ee5276b8-8085-4ebc-ba3b-7c2ac3da0aab	7d7ea1d7-1e23-40d7-b759-2cc7aed022ac
15	ДОРОГО КУПЛЮ ВАШ АВТОМОБИЛЬ. ДОРОГО КУПЛЮ ВАШ АВТОМОБИЛЬ В ЛЮБОМ СОСТОЯНИИ  8904-057-91-81	ban_shock_content	fb4bbb51-0d66-4c16-b57a-df9395bc5d02	ebbb8d2a-17c1-4656-ae87-00fd5c6064d9
15	ДОРОГО КУПЛЮ ВАШ АВТОМОБИЛЬ. ДОРОГО КУПЛЮ ВАШ АВТОМОБИЛЬ В ЛЮБОМ СОСТОЯНИИ  8904-057-91-81	ban_shock_content	43dbffb7-cce8-4b95-9de1-0a37aa7fb215	d359d3fe-e80e-477c-a625-696e3f5d2337
16	Бочки б.у. Чистые 170л-1400р,227 л 1300-1500р,ЕВРОКУБ мытый 5000р..тел 8-951-443-48-55	ad	470b870f-0602-406b-856c-a9da4d11c9da	e04092f7-f3c8-4f97-8cc3-9e36c98d42e7
16	Бочки б.у. Чистые 170л-1400р,227 л 1300-1500р,ЕВРОКУБ мытый 5000р..тел 8-951-443-48-55	not_ad	ae3861fa-333e-4ad1-b888-de44eea13bce	0d7441c6-d64c-40eb-8e75-d4a5d6aa99b4
16	Бочки б.у. Чистые 170л-1400р,227 л 1300-1500р,ЕВРОКУБ мытый 5000р..тел 8-951-443-48-55	not_add	73e74cbf-ac21-4637-a1b7-1e430c798c0b	5c8119ac-0ceb-44ca-84ef-5af7d641821b
17	Нужны отзывы!!. Кто заказываю тут окна, поделитесь отзывами https://oknolider.ru/	ad	4bcb16fc-55c2-4d0f-b3de-f0c41d08a446	d9c3eabf-783f-459a-8762-b10468d9f08d
17	Нужны отзывы!!. Кто заказываю тут окна, поделитесь отзывами https://oknolider.ru/	not_ad	246923b8-5952-4f63-8dc2-4bffc17bc128	07f1baef-1229-4da7-9984-77e2bbceb87f
17	Нужны отзывы!!. Кто заказываю тут окна, поделитесь отзывами https://oknolider.ru/	not_add	dffb5394-5f0d-4f1c-bdee-a392fe996962	ced2bd14-a4c8-4412-9ee6-4327df935633
18	Акция: мк коронка 10.000 р. Металлокерамическая коронка (Германия) под ключ 10 000 руб.	ban_shock_content	7db4c329-82e8-46ff-bf02-894fd32b6047	8a55caa4-428b-4cbc-981a-34c8533995ed
18	Акция: мк коронка 10.000 р. Металлокерамическая коронка (Германия) под ключ 10 000 руб.	ban_shock_content	552145ee-8649-46d4-9e1e-63296420ae40	5c906972-62b8-4d80-92a7-2fa13db5e737
18	Акция: мк коронка 10.000 р. Металлокерамическая коронка (Германия) под ключ 10 000 руб.	not_add	09c0d9e4-db9c-4295-a1b7-b7d1985b2be7	f6eab740-5ba2-4028-b1ba-97798ab338c2
19	Срочная помощь для Вашей техники. Лучше вернуть в строй 15-ти летнюю технику чем покупать новую	not_add	f966a7d9-0d32-40ec-b0f8-46804664d69a	7a069d55-3bb1-4204-85d4-901a008cd653
19	Срочная помощь для Вашей техники. Лучше вернуть в строй 15-ти летнюю технику чем покупать новую	not_add	483fe01b-ff1f-434e-83c9-0010f81fa648	6a1d87a3-4478-4017-bda1-c12c83a391f0
19	Срочная помощь для Вашей техники. Лучше вернуть в строй 15-ти летнюю технику чем покупать новую	ad	0e4e6681-594f-4572-9e36-10baaec84adb	99f3c62d-aba4-44f0-8944-749c3c26e252
20	Предлагаю  поверку приборов учета воды на дому без снятия. Аккредитация Официально 89267248817  +7 (499) 372-04-03  +7 (499) 347-58-52  +7 (499) 340-14-38	not_add	fb4bbb51-0d66-4c16-b57a-df9395bc5d02	1d3adcab-dc2a-4d43-8185-d360ed88d460
20	Предлагаю  поверку приборов учета воды на дому без снятия. Аккредитация Официально 89267248817  +7 (499) 372-04-03  +7 (499) 347-58-52  +7 (499) 340-14-38	not_ad	8d09112c-d9f8-472a-99fc-a7b89829bfc8	9461f04f-34ab-466a-8d68-39f72f302f6f
20	Предлагаю  поверку приборов учета воды на дому без снятия. Аккредитация Официально 89267248817  +7 (499) 372-04-03  +7 (499) 347-58-52  +7 (499) 340-14-38	ad	bd887b81-8aa6-4760-8fca-0ed20a8dcb04	49578cfd-0469-48bd-abe7-e73a0c31987c
21	Постельное бельё на заказ. Материал перкаль, любая комплектация,по г.Бор доставка бесплатная	ban_shock_content	6a161f14-7312-4acc-9fbb-095faa4a2f4b	a17ff30b-cde9-4c62-a3cc-a52c81d5f6af
21	Постельное бельё на заказ. Материал перкаль, любая комплектация,по г.Бор доставка бесплатная	not_add	94a77b8d-7b23-44d2-ab9a-2ea0ba35384f	b4304d3c-8ace-4e06-ad97-5f3c03a4b88b
21	Постельное бельё на заказ. Материал перкаль, любая комплектация,по г.Бор доставка бесплатная	not_add	f75c2d5e-0ff6-45c9-8aa8-88bcc34d30d6	17891b88-88f2-400d-8f02-0ab3363b4e14
22	Стаж более 8 лет. Установлю реальную причину, Отремонтирую быстро. Цены без накруток	ban_shock_content	7646c87e-e88e-46d2-875b-a2f1aa1b6fc6	90ac5b3e-c9cb-4eb5-b31e-4245fa68711e
22	Стаж более 8 лет. Установлю реальную причину, Отремонтирую быстро. Цены без накруток	not_ad	e9f0dd47-63f7-4cb4-afb8-2cd002d464b6	ff9d9ce9-a799-4549-b8e4-3cfebdb49da4
22	Стаж более 8 лет. Установлю реальную причину, Отремонтирую быстро. Цены без накруток	ban_shock_content	df2dff4a-1b12-4a33-952f-0a9c3fd430e4	b928189a-6c85-4d93-872b-6463ca22030b
23	Оконный завод века офис в г. Армавир ул. Мира 44. Автоматические раздвижные двери, окна, балконы, терассы. 89094445557 Veka.me	not_add	61332eba-d0d5-4385-adb3-edc27038bf68	32b58c01-f98f-4817-84fd-6328cee4ee7d
23	Оконный завод века офис в г. Армавир ул. Мира 44. Автоматические раздвижные двери, окна, балконы, терассы. 89094445557 Veka.me	ban_shock_content	65d15d13-0964-4bc3-8b0a-5d1d82bc813e	9164bc96-4c60-47c3-b256-800207fc27f6
23	Оконный завод века офис в г. Армавир ул. Мира 44. Автоматические раздвижные двери, окна, балконы, терассы. 89094445557 Veka.me	ban_shock_content	f82e8add-54e4-4aa5-b924-fe0e32a13be6	d7ad8ed1-8523-403c-8153-065828cb9e98
24	Пансионат Ласточкино Гнездо. Качественный уход за пожилыми людьми по доступным ценам от 1000 руб. в сутки	ban_shock_content	ed2351bc-d1f4-4db4-a625-ea0989fdc319	90490824-cc13-43a5-bde3-4c409417a7c9
24	Пансионат Ласточкино Гнездо. Качественный уход за пожилыми людьми по доступным ценам от 1000 руб. в сутки	ban_shock_content	9b9b91f1-f470-47c2-8247-3c333a7203be	35e5f71d-a0d8-4f75-a61f-19874d313fda
24	Пансионат Ласточкино Гнездо. Качественный уход за пожилыми людьми по доступным ценам от 1000 руб. в сутки	not_ad	f3d84d47-2c87-45a8-b0e3-d7d5b578de5c	9891298f-b62f-45ee-944e-d3f51269eac6
25	купон на скидку учи.ру 20%. Промокод: ETXWGEAQ Промокод действует 2 месяца. Его можно использовать до 10 раз.	not_add	dd4f488f-46c9-4e62-8997-e430cd1d0d4f	cd9db389-3f4c-4469-9aa0-75971e60e4d7
25	купон на скидку учи.ру 20%. Промокод: ETXWGEAQ Промокод действует 2 месяца. Его можно использовать до 10 раз.	ad	3fcc9190-8e62-489b-a753-9fd904a8654d	a265580f-ab08-486c-81fe-01535f654fa5
25	купон на скидку учи.ру 20%. Промокод: ETXWGEAQ Промокод действует 2 месяца. Его можно использовать до 10 раз.	ad	cb855fce-13f2-4da1-8377-823a4758fce6	371f4342-21f1-43d1-82c6-bee5cb102d4d
26	✔ Большой выбор полок и стеллажей. ✨Ассортимент представлен на втором этаже. Группа в ВК https://vk.com/domostroy_nefteyugansk	not_add	538b3efe-ecb2-47f0-b391-940e889ed29b	623831c0-69c3-481d-bf58-e785400dae31
26	✔ Большой выбор полок и стеллажей. ✨Ассортимент представлен на втором этаже. Группа в ВК https://vk.com/domostroy_nefteyugansk	not_ad	62d170c7-2345-4740-a4f7-dd78e97c25da	22f56855-6cf7-4f47-ba2a-24a99c974909
26	✔ Большой выбор полок и стеллажей. ✨Ассортимент представлен на втором этаже. Группа в ВК https://vk.com/domostroy_nefteyugansk	not_ad	15c67a96-ecd7-476d-a935-ebeddaeb8fad	bde60642-a7b7-4272-a133-803266d0186c
27	Ждем Вас по адресу:. г. Советский, ул. Гастелло 43 и Жд 20а (в м-не Мечта покупателя)  Букеты в наличии.	not_add	d814aa01-760a-411e-b66b-b2b8455f0ad7	e7a3af1e-2e45-4417-9069-404dc833d81b
27	Ждем Вас по адресу:. г. Советский, ул. Гастелло 43 и Жд 20а (в м-не Мечта покупателя)  Букеты в наличии.	not_add	301c9b79-8b99-4037-a23f-d0d2f1a964a8	387c1278-784b-4664-b852-66145d892667
27	Ждем Вас по адресу:. г. Советский, ул. Гастелло 43 и Жд 20а (в м-не Мечта покупателя)  Букеты в наличии.	ad	3c836910-2d29-4414-84fc-49b7e00f9f4e	4e6d9043-34f0-4574-8d7c-4b80bd95e5f0
28	Студия стрижки Олега Володина!. Стрижка и укладка для прекрасной Ларисы😍 Приходи и ты за новым образом)) ☺✌	not_ad	ae3861fa-333e-4ad1-b888-de44eea13bce	a9603651-8ae7-4ea1-aa49-182b2972c4dc
28	Студия стрижки Олега Володина!. Стрижка и укладка для прекрасной Ларисы😍 Приходи и ты за новым образом)) ☺✌	ban_shock_content	dd4f488f-46c9-4e62-8997-e430cd1d0d4f	1404f10d-524a-40bb-baba-e7e17fbc3df6
28	Студия стрижки Олега Володина!. Стрижка и укладка для прекрасной Ларисы😍 Приходи и ты за новым образом)) ☺✌	ad	38fff4ba-c80b-4638-b0ff-778cdc4826bd	baae1ebd-14c2-413a-b1cb-225f581b3612
29	Юридические услуги. Составление договоров любой сложности  (дарения, купли-продажи, мены, задатка).	not_ad	c8ff5225-0fc4-420b-b5ef-59a387e141c0	71e44a35-6ee3-4fa4-abc5-fe3aeb8829e9
29	Юридические услуги. Составление договоров любой сложности  (дарения, купли-продажи, мены, задатка).	not_ad	a1814210-79c4-45f2-95b8-8345ca1c0bf2	0a1a8900-e8f0-47b6-95b6-a69f16c2edef
29	Юридические услуги. Составление договоров любой сложности  (дарения, купли-продажи, мены, задатка).	not_add	aa82203a-0494-4ca6-bf0a-fc59a100485c	aa9f748a-3ecf-4026-9572-d38f0672fc7e
30	Межевание по низким ценам.. Все виды кадастровых работ.   https://межевание-тульская-область.рф/  тел. (В-920-773-58-11)	not_add	cd945fd4-9eea-40c2-acff-71a22f5d8bd0	715cd164-c8f4-4fd1-b46a-fcfb73ef9a12
30	Межевание по низким ценам.. Все виды кадастровых работ.   https://межевание-тульская-область.рф/  тел. (В-920-773-58-11)	ad	358687f7-68e2-4bb9-9487-643f5eb91f7f	5b32af3c-9ce7-4663-ba62-a75c41880c6f
30	Межевание по низким ценам.. Все виды кадастровых работ.   https://межевание-тульская-область.рф/  тел. (В-920-773-58-11)	not_ad	cb855fce-13f2-4da1-8377-823a4758fce6	2187ccfa-c331-40c6-868c-3739cfa49351
31	Ремонт айфонов в районе проспект Октябрьской Революции, 40/4. Ремонт мобильных телефонов Apple продукции и не только, продажа Apple  в Севастополе.	not_ad	4ab52052-5ace-4a27-9bf0-b8ed04d1ff6e	dde73c9f-7029-4a05-afe5-01e2f95c765d
31	Ремонт айфонов в районе проспект Октябрьской Революции, 40/4. Ремонт мобильных телефонов Apple продукции и не только, продажа Apple  в Севастополе.	not_ad	43dbffb7-cce8-4b95-9de1-0a37aa7fb215	032f04fb-73f6-4501-99c0-63017a26787b
31	Ремонт айфонов в районе проспект Октябрьской Революции, 40/4. Ремонт мобильных телефонов Apple продукции и не только, продажа Apple  в Севастополе.	not_ad	cd69e585-bf18-4252-95d9-bd134a1fbf88	6a36761d-2f26-4231-a58e-13406c3745fb
32	Ремонт обуви. Немецкое оборудование, квалифицированные мастера, быстро и с гарантией качества .  8-977-300-40-11	ad	3848c6a5-d1c0-4cff-b6d7-28bfee59ae68	d281fc62-7f20-4d3b-aa1f-95c33b0042ab
32	Ремонт обуви. Немецкое оборудование, квалифицированные мастера, быстро и с гарантией качества .  8-977-300-40-11	not_ad	9e8d2e19-eb01-4d12-8ed6-b4f35e225dd8	678905d7-21b5-4fe5-b3b2-c978ba431b7f
32	Ремонт обуви. Немецкое оборудование, квалифицированные мастера, быстро и с гарантией качества .  8-977-300-40-11	not_ad	f59e142e-f46f-4050-830f-afb8a86ac277	8a39a904-1620-4e48-a0f8-b4034c9f7fd1
33	Приходите к нам в April to you :). Комбо снятие + комбинированный маникюр + покрытие от 2000 ₽! А ещё у нас очень красиво и уютно :)	not_add	32ed4a29-69c8-4154-bc74-7540f8697a11	ac9174d5-691c-4109-8242-7b83f8de7699
33	Приходите к нам в April to you :). Комбо снятие + комбинированный маникюр + покрытие от 2000 ₽! А ещё у нас очень красиво и уютно :)	not_add	60d7f876-2547-4771-ac77-e3215de6bc7f	abf41b90-17bd-449e-b382-ed1a023ab9f2
33	Приходите к нам в April to you :). Комбо снятие + комбинированный маникюр + покрытие от 2000 ₽! А ещё у нас очень красиво и уютно :)	not_add	20b02f22-669c-4a9b-936b-c5d59cd74e6b	86a39b4d-aca7-488c-9fda-5e7449979cc9
34	Генеральная уборка квартиры. Клининговая компания Москлининг.ПРО  Лучшая уборка в Москве.   Пишите, звоните:  84951757320  89779483307	not_ad	89d1e812-7e7f-4dcd-8035-bdfff27884cc	56b7d1d4-53b6-4515-af82-0732d6c339c1
34	Генеральная уборка квартиры. Клининговая компания Москлининг.ПРО  Лучшая уборка в Москве.   Пишите, звоните:  84951757320  89779483307	ad	dbbc57ee-6de3-4cfe-a51b-df57a2f72c88	ae63ca66-b989-4c26-b78c-3ae989db4a9f
34	Генеральная уборка квартиры. Клининговая компания Москлининг.ПРО  Лучшая уборка в Москве.   Пишите, звоните:  84951757320  89779483307	not_add	4cb08fce-f374-415a-8af9-15b911560ebd	923954c5-df14-4126-92a5-134dce405438
35	Снижение цен на мебельный щит. Успейте воспользоваться выгодным предложением и приобрести мебельный щит по приятной цене!	not_add	ed2351bc-d1f4-4db4-a625-ea0989fdc319	8df23689-11f0-413c-a18a-6ee7248828df
35	Снижение цен на мебельный щит. Успейте воспользоваться выгодным предложением и приобрести мебельный щит по приятной цене!	not_ad	1d0f4d88-8c9c-433a-8987-b973dba7b86a	ab73c263-c390-462d-bb11-44fddfe61b02
35	Снижение цен на мебельный щит. Успейте воспользоваться выгодным предложением и приобрести мебельный щит по приятной цене!	not_add	e1a31359-f5b6-43b3-a879-291df1c438fe	b3a0285e-7039-4bde-bffc-f22b5200c0ea
36	Друзья всем здравствуйте. Поступило средство для чистки котлов, печей и дымоходов, приходите будем рады, выбор большой.	ad	7fc8e740-1c2d-4033-a912-00f559b1d00a	0273df9e-5ad8-4431-9d46-5e04b5990c12
36	Друзья всем здравствуйте. Поступило средство для чистки котлов, печей и дымоходов, приходите будем рады, выбор большой.	not_add	5efa9eb0-0a29-4830-a518-6845c665c6ac	d6a17046-51b0-4477-9429-d7481823ddd6
36	Друзья всем здравствуйте. Поступило средство для чистки котлов, печей и дымоходов, приходите будем рады, выбор большой.	not_add	a1814210-79c4-45f2-95b8-8345ca1c0bf2	a648c959-6317-4986-bad2-a974b4a3ebde
37	Крафт у метро Бауманская. Всегда в наличии большой выбор крафта по приятным ценам!  30 метров от входа в метро Бауманская	not_ad	7f556991-fce1-4e92-b06a-35d77de4d49c	f3c05e79-5ace-4481-b653-00a30f9aeb9b
37	Крафт у метро Бауманская. Всегда в наличии большой выбор крафта по приятным ценам!  30 метров от входа в метро Бауманская	not_ad	f1df424e-efae-41e3-9707-110ddf449cc6	ac768581-5cc0-4cfb-a668-175c8e5c807f
