INPUT:id	INPUT:name	INPUT:image	OUTPUT:result	GOLDEN:result	HINT:text	HINT:default_language	ACCEPT:verdict	ACCEPT:comment

obj1180581	Джо Канутт	http://avatars.mds.yandex.net/get-kino-vod-persons-gallery/34142/2a00000163095bd65ed0becf67d856319111/orig	"Джо Канутт (1937-2018)- американский актёр. Родом из Лос-Анджелеса (штат Калифорния, США), умер в Голете (Калифорния, США). Начало карьеры приходится на 1954 г.
Предпочитаемые жанры: вестерн, драма, приключения.
Наиболее значимые картины:
1) ""Спартак"" (1960);
2) ""Бен-Гур"" (1959);
3) ""Бассейн утопленников"" (1975)."				+	
								
obj1181161	Умберто Паоло Квинтавалле	http://avatars.mds.yandex.net/get-kino-vod-persons-gallery/27482/2a00000163a4c4d94b61a9f4f7bcad7baa78/orig	Итальянский актор , браке был с Жозефине Квитавалле  , умер  3 ноября 1997 г.  Он продолжатель знаменитого  аристократического итальянского рода. Был известен как писатель , автор десятка романов. Умер в нью- Йорке от сердечного присступа на 70- ом году жизни.  Был сыном графа Монастероло д’Адда. Имел пятерых детей . Родился 1 ноября 1926 Голду в городе Милан . Жанры  драма и ужасы . Свою карьеру в кино  Умберто Паоло  Квинтавалле начал в возрасте 49 лет, снявшись в фильме Сало, или 120 дней Содома.				+	
								
obj1180671	Рон Найман	http://avatars.mds.yandex.net/get-kino-vod-persons-gallery/34142/2a00000161d427a68ffef95011ad0c1d70ba/orig	Рон Найман – британский актёр, в чьей карьере было свыше 100 ролей в фильмах. Рон (Рональд) Найман родился 12 мая 1924 года в Англии. В 27 лет он переезжает в Голливуд и начинает свою карьеру съёмками в массовке, преимущественно в жанрах драмы, детектива, ужасов. Известность актёр получил благодаря ролям служителей закона - полицейских. Среди его популярных и рейтинговых  ролей игра в фильмах и сериалах: «Медэксперт Куинси»(1977-1978), «Братья Харди и Нэнси Дрю»(1977-1979), «Джентельмены предпочитают блондинок»(1953), «Зуд седьмого года» (1955), «Десять заповедей»(1956), «Менниск» (1967-1975) и других. Рон Найман принимал участие в съёмках «Звёздного крейсера Галактика», однако получил ранение, которое положило конец его карьере в шоу-бизнесе. Актёр прожил 76 лет и умер 16 сентября 2000 года. 				+	
								
obj1569910	Ларри Мосс	http://avatars.mds.yandex.net/get-kino-vod-persons-gallery/995567/2a000001625822267d69b1ef90c328fba90e/orig	"Ларри Мосс - американский актер, режиссер и тренер по актерскому мастерству. Он написал учебник актерскогомастерства ""Намерение жить"" и поставил множество театральных постановок , в первую очередь ""Дерево Сиринга"" и ""Держа человека
Впервые он начал свою актерскую карьеру в Нью-Йорке , снявшись в фильме ""Наверху на первом этаже"" и появившись на Бродвее в Вестсайдской истории, Черт возьми! Кот!, Любимец Бога, Так долго, 174-я улица, Жених-Разбойник, и я люблю Свою жену"				+	
								
obj1181504	Маргарет Перри	http://avatars.mds.yandex.net/get-kino-vod-persons-gallery/27482/2a00000161c7480c1f0caf025c31a2b4bdc7/orig	Фильмография и список ТВ-, кино проектов, в которых принимала участие или участвует сегодня актриса Маргарет Перри, насчитывает порядка 4 работ. Среди фильмов, передач и ТВ-шоу актрисы, которые стоит посмотреть, можно выделить: Мэй Уэст навсегда (1936) /Go West Young Man/ и New Morals for Old (1932). Маргарет Перри появляется в сериалах и кино проектах в качестве актрисы, начиная с 1932 по 1936 годы. Первые фильмы и ТВ-шоу с участием актрисы: New Morals for Old (1932) - роль: Phyl Thomas. Последние на сегодня проекты и фильмы, где задействована актриса Маргарет Перри - это Мэй Уэст навсегда (1936) /Go West Young Man/ - роль: Joyce Struthers.				+
