INPUT:image_left	INPUT:image_right	INPUT:query	INPUT:source_left	INPUT:source_right	OUTPUT:result	CONFIDENCE:result	GOLDEN:result	
https://storage.mds.yandex.net/get-mturk/34220/64a651ea-9925-4e15-ae48-d6376de2a7db.png	https://storage.mds.yandex.net/get-mturk/68142/de78bb6c-f918-4fb3-8111-bf02042eec28.png	мазь вишневского	https://yandex.ru/health/pills/product/liniment-balzamicheskij-po-vishnevskomu-33723	https://uplady.ru/zdorove/poleznye-sredstva/ot-chego-pomogaet-dlya-chego-primenyaetsya-maz-vishnevskogo-sostav-primenenie-analogi.html	snd	51.96%		
https://storage.mds.yandex.net/get-mturk/55559/f0edd529-f807-4a68-b892-c5602dc86fb2.png	https://storage.mds.yandex.net/get-mturk/200217/022fb36c-2cca-45fa-bd1d-7cf9deb8d651.png	nehs d [ehufle минска	https://www.relax.by/gds/turagentstva/hurgada/minsk/	https://tripvariator.by/egypt/hurghada/from-minsk/	snd	90.68%		
https://storage.mds.yandex.net/get-mturk/64929/476349ed-710e-4cb9-80e4-7e1ad8c9e7f5.png	https://storage.mds.yandex.net/get-mturk/108096/055cc7ba-9640-4a92-ae30-59caef0cd2b8.png	мазь вишневского	https://medside.ru/maz-vishnevskogo	https://indicator.ru/article/2017/07/20/maz-vishnevskogo/	snd	63.29%		
https://storage.mds.yandex.net/get-mturk/64929/476349ed-710e-4cb9-80e4-7e1ad8c9e7f5.png	https://storage.mds.yandex.net/get-mturk/64007/1a546672-797c-4a68-a3df-6d9a88b14323.png	мазь вишневского	https://medside.ru/maz-vishnevskogo	https://womane.ru/balzam-vishnevskogo-instrukciya-primeneniya-lechenie-boleznej-vospalenij-travm.html	fst	85.79%		
https://storage.mds.yandex.net/get-mturk/59150/bf281503-26b7-4141-8225-230f9de348a6.png	https://storage.mds.yandex.net/get-mturk/64007/1a546672-797c-4a68-a3df-6d9a88b14323.png	мазь вишневского	https://rasteniya-lecarstvennie.ru/2795-maz-vishnevskogo-primenenie-instrukciya-po-primeneniyu-pokazaniya-protivopokazaniya.html	https://womane.ru/balzam-vishnevskogo-instrukciya-primeneniya-lechenie-boleznej-vospalenij-travm.html	fst	70.94%		
https://storage.mds.yandex.net/get-mturk/34220/64a651ea-9925-4e15-ae48-d6376de2a7db.png	https://storage.mds.yandex.net/get-mturk/59150/bf281503-26b7-4141-8225-230f9de348a6.png	мазь вишневского	https://yandex.ru/health/pills/product/liniment-balzamicheskij-po-vishnevskomu-33723	https://rasteniya-lecarstvennie.ru/2795-maz-vishnevskogo-primenenie-instrukciya-po-primeneniyu-pokazaniya-protivopokazaniya.html	fst	51.23%		
https://storage.mds.yandex.net/get-mturk/145915/6a814dbd-e441-4f15-8b34-2e6d6b196b3c.png	https://storage.mds.yandex.net/get-mturk/22497/8545928d-8871-4bd1-a2e7-0a3d81cee17f.png	вороний холм вов	https://tv-soyuz.ru/news/na-voroney-gore-ustanovili-krest-v-pamyat-o-vov	https://www.BiblioFond.ru/view.aspx?id=800894	snd	73.95%		
https://storage.mds.yandex.net/get-mturk/14636/a7584d64-333d-4cb6-aaf3-5a0582f6dc30.png	https://storage.mds.yandex.net/get-mturk/52137/bb2d9f3f-2580-4bb2-af94-617d94ab2b24.png	asus m5a78l-m lx3 обзор	https://www.onlinetrade.ru/catalogue/materinskie_platy-c340/asus/fullreviews/materinskaya_plata_asus_m5a78l_m_lx3_am3_microatx-159664-r47435.html	https://www.citilink.ru/catalog/computers_and_notebooks/parts/motherboards/695156/obzory/	snd	93.15%		
https://storage.mds.yandex.net/get-mturk/36745/6f1096d7-091f-44c1-a7da-7d265479854f.png	https://storage.mds.yandex.net/get-mturk/476213/e5cf1e5e-eff3-4ead-bee5-9bafaa3c7a31.png	почта gmail вход	https://www.google.com/intl/ru/gmail/about/for-work/	https://www.google.ru/mail/help/work.html	eq	99.01%		
https://storage.mds.yandex.net/get-mturk/57914/b089563b-aefe-449f-b1a5-24507aa37a3e.png	https://storage.mds.yandex.net/get-mturk/243965/1f54c938-d682-4681-afe9-62d8cc32f4b8.png	asus m5a78l-m lx3 обзор	https://naobzorah.ru/motherboard/asus_m5a78l-m_lx3	https://www.onlinetrade.ru/catalogue/materinskie_platy-c340/asus/fullreviews/materinskaya_plata_asus_m5a78l_m_lx3_am3_microatx-159664-r8265.html	snd	90.12%		
https://storage.mds.yandex.net/get-mturk/200217/022fb36c-2cca-45fa-bd1d-7cf9deb8d651.png	https://storage.mds.yandex.net/get-mturk/398779/380d6c74-8e65-4c91-99bf-1c67fb6c5581.png	nehs d [ehufle минска	https://tripvariator.by/egypt/hurghada/from-minsk/	https://www.holiday.by/countries/Egypt/hurgada/tours	snd	96.22%		
https://storage.mds.yandex.net/get-mturk/200217/d3a4750b-27e9-43e6-86c6-e9ad24894139.png	https://storage.mds.yandex.net/get-mturk/114967/bbf66c1f-9079-4b86-9e95-834593ee5eb4.png	Пенсионерам скидки	http://yaroslavl.incred.ru/vkladi/pensionnie/	https://www.sellvoyage.ru/deshevye-aviabilety-pensioneram/	fst	46.62%		
https://storage.mds.yandex.net/get-mturk/29516/c843b337-deff-47a6-bfce-b77cc5848bbb.png	https://storage.mds.yandex.net/get-mturk/476213/e5cf1e5e-eff3-4ead-bee5-9bafaa3c7a31.png	почта gmail вход	https://apps.apple.com/ru/app/gmail-%D0%BF%D0%BE%D1%87%D1%82%D0%B0-%D0%BE%D1%82-google/id422689480	https://www.google.ru/mail/help/work.html	fst	70.65%		
https://storage.mds.yandex.net/get-mturk/204494/7244e804-f465-48ef-bad2-57e1cf249389.png	https://storage.mds.yandex.net/get-mturk/108096/9fcef3cd-51b5-4e46-83a0-8aa3ad55f103.png	косметиста	http://luckykosmetista.blogspot.com/	https://www.facebook.com/Kosmetista.ru	snd	95.76%		
https://storage.mds.yandex.net/get-mturk/64007/f28948a5-26b5-4f8f-8b6a-c2364cc1d006.png	https://storage.mds.yandex.net/get-mturk/30623/701b5b66-b6a1-4e43-8e19-4863c4226bc7.png	календарь дежурств пожарной охраны 2019 год	https://fireguys.ru/documentation/organizacija-sluzhby/karaulnaja-sluzhba/-smena-karaulov-v-podrazdelenijah-pozharnoi-ohrany.html	https://ok.ru/firemanclub/topic/66952209847629	fst	56.04%		
https://storage.mds.yandex.net/get-mturk/65951/4747ae14-34eb-4eb3-9a0d-3f12250a7ea3.png	https://storage.mds.yandex.net/get-mturk/40190/c832619f-6c8c-4948-90d3-474ba0433e97.png	nehs d [ehufle минска	https://www.tez-tour.com/region.html?regionId=5734	https://intercity.by/tours/list/country/turkey/	fst	100.00%	fst	
https://storage.mds.yandex.net/get-mturk/23304/b7d7c1e3-dc67-48e5-8df6-19cba37754ae.png	https://storage.mds.yandex.net/get-mturk/129249/fdf05d31-6f1c-4747-8f6e-a107c9f2332d.png	косметиста	http://irecommend.ru/users/kosmetista?page=1	https://zen.yandex.ru/kosmetista.ru	snd	97.38%		
https://storage.mds.yandex.net/get-mturk/62493/8a8d3bc7-7031-4867-9ec1-a6657063b9a5.png	https://storage.mds.yandex.net/get-mturk/36745/b23ce02c-258d-4a24-885b-19800e3a48a4.png	Пенсионерам скидки	https://ipipip.ru/%D0%9B%D1%8C%D0%B3%D0%BE%D1%82%D1%8B_%D0%BF%D0%B5%D0%BD%D1%81%D0%B8%D0%BE%D0%BD%D0%B5%D1%80%D0%B0%D0%BC/	https://yaroslavl.buranrussia.ru/pensioneram-skidka/	fst	86.12%		
https://storage.mds.yandex.net/get-mturk/30140/6d22a7fc-891b-409b-bce8-ee13e05d93e5.png	https://storage.mds.yandex.net/get-mturk/898483/2e3dfcaf-9756-456d-be9e-0b0aff9aa946.png	вороний холм вов	https://db.rising-gods.de/?object=108	https://cata.wowroad.info/?item=60935	fst	54.79%		
https://storage.mds.yandex.net/get-geosearch/15218/fce2e673-4e59-4d78-8ff0-163f67358f09	https://storage.mds.yandex.net/get-mturk/53927/2e176ef5-771b-4419-a663-94ba32dc6bed.png	календарь дежурств пожарной охраны 2019 год	https://pikabu.ru/story/avtraliyskie_pozharnyie_vyipustili_kalendar_na_2019_6211315	https://vk.com/topic-31039380_30240965	snd	100.00%	snd	
https://storage.mds.yandex.net/get-mturk/57610/eb2045ca-cd63-4d20-8bac-362c44bc06ba.png	https://storage.mds.yandex.net/get-mturk/34220/3dde56bc-4d75-41dd-baa5-e3b8b7de3f9f.png	вороний холм вов	https://base.opiums.eu/?object=111	https://ru.wikipedia.org/wiki/%D0%92%D0%BE%D1%80%D0%BE%D0%BD%D1%8C%D1%8F_%D0%B3%D0%BE%D1%80%D0%B0	snd	51.96%		
https://storage.mds.yandex.net/get-mturk/200217/d3a4750b-27e9-43e6-86c6-e9ad24894139.png	https://storage.mds.yandex.net/get-mturk/44037/a08d5e3a-5c39-4e18-8f22-e0166ebf4d66.png	Пенсионерам скидки	http://yaroslavl.incred.ru/vkladi/pensionnie/	https://yakapitalist.ru/finansy/socialnye-lgoty-pensioneram/	snd	64.78%		
https://storage.mds.yandex.net/get-mturk/23304/b7d7c1e3-dc67-48e5-8df6-19cba37754ae.png	https://storage.mds.yandex.net/get-mturk/168599/290bc4de-2804-4932-b850-3a3d70af2d89.png	косметиста	http://irecommend.ru/users/kosmetista?page=1	https://kosmetista-ru.livejournal.com/	snd	83.47%		
https://storage.mds.yandex.net/get-mturk/67555/1fe568fc-d08b-48d9-8f65-3a20dbb12cff.png	https://storage.mds.yandex.net/get-mturk/40311/b56eac80-68a3-4500-8d58-22ca03cd21a5.png	nehs d [ehufle минска	https://LeTour.by/tury-v-hurgadu.html	https://belturizm.by/poisk-tura/tury-v-egipet/khurgada/	snd	98.34%		
https://storage.mds.yandex.net/get-mturk/34220/64a651ea-9925-4e15-ae48-d6376de2a7db.png	https://storage.mds.yandex.net/get-mturk/53927/8c685101-06bc-4c0a-ac1b-2b692970045b.png	мазь вишневского	https://yandex.ru/health/pills/product/liniment-balzamicheskij-po-vishnevskomu-33723	http://boleznikogi.com/ot-chego-pomogaet-maz-vishnevskogo	fst	94.81%		
https://storage.mds.yandex.net/get-mturk/204494/7244e804-f465-48ef-bad2-57e1cf249389.png	https://storage.mds.yandex.net/get-mturk/56180/5b41698d-360e-45cb-aca3-2a5499c9667e.png	косметиста	http://luckykosmetista.blogspot.com/	https://m.kosmetista.ru/index/page6/	snd	89.78%		
https://storage.mds.yandex.net/get-mturk/44037/a08d5e3a-5c39-4e18-8f22-e0166ebf4d66.png	https://storage.mds.yandex.net/get-mturk/150625/2b37b810-2204-43ff-b2b4-392c566ff391.png	Пенсионерам скидки	https://yakapitalist.ru/finansy/socialnye-lgoty-pensioneram/	https://ToShop.ru/actions.aspx?Select=Pensioner	fst	68.78%		
https://storage.mds.yandex.net/get-geosearch/15218/fce2e673-4e59-4d78-8ff0-163f67358f09	https://storage.mds.yandex.net/get-mturk/36745/72561ba8-ffbc-44b6-b5e4-0e327c039cad.png	samsung galaxy watch и samsung galaxy watch active	https://www.samsung.com/ru/wearables/galaxy-watch-active-r500/SM-R500NZSASER/	https://keddr.com/2019/07/v-set-slili-ofitsialnyie-renderyi-samsung-galaxy-note10-i-galaxy-watch-active-2/	fst	66.68%		
https://storage.mds.yandex.net/get-mturk/40190/c832619f-6c8c-4948-90d3-474ba0433e97.png	https://storage.mds.yandex.net/get-mturk/168599/7ed8c5b9-2ef3-4e34-9c4c-008986a68825.png	nehs d [ehufle минска	https://intercity.by/tours/list/country/turkey/	http://www.travel.otzyv.by/kurorty/hurghada/tury/	fst	92.24%		
https://storage.mds.yandex.net/get-geosearch/15218/fce2e673-4e59-4d78-8ff0-163f67358f09	https://storage.mds.yandex.net/get-mturk/66374/b5621355-b0f7-4999-a2c4-6ddb0adf5b5b.png	календарь дежурств пожарной охраны 2019 год	https://pikabu.ru/story/avtraliyskie_pozharnyie_vyipustili_kalendar_na_2019_6211315	http://www.bezengi.ru/ru/node/312	snd	76.57%		
https://storage.mds.yandex.net/get-mturk/898483/2e3dfcaf-9756-456d-be9e-0b0aff9aa946.png	https://storage.mds.yandex.net/get-mturk/38409/bc734dc5-37f2-48d5-bfd2-a455ba0cdd95.png	вороний холм вов	https://cata.wowroad.info/?item=60935	https://rp-wow.ru/events/4054.html	fst	99.42%		
