query	region	url	screen
вороний холм вов	Протвино (Россия)	https://db.rising-gods.de/?object=108	https://storage.mds.yandex.net/get-mturk/30140/6d22a7fc-891b-409b-bce8-ee13e05d93e5.png
вороний холм вов	Протвино (Россия)	https://cata.wowroad.info/?item=32313	https://storage.mds.yandex.net/get-mturk/53208/d76a9e0d-f0d2-4c18-965d-b0f297fee5c5.png
вороний холм вов	Протвино (Россия)	https://cata.wowroad.info/?item=60935	https://storage.mds.yandex.net/get-mturk/898483/2e3dfcaf-9756-456d-be9e-0b0aff9aa946.png
вороний холм вов	Протвино (Россия)	https://ru.wikipedia.org/wiki/%D0%92%D0%BE%D1%80%D0%BE%D0%BD%D1%8C%D1%8F_%D0%B3%D0%BE%D1%80%D0%B0	https://storage.mds.yandex.net/get-mturk/34220/3dde56bc-4d75-41dd-baa5-e3b8b7de3f9f.png
вороний холм вов	Протвино (Россия)	https://rp-wow.ru/events/4054.html	https://storage.mds.yandex.net/get-mturk/38409/bc734dc5-37f2-48d5-bfd2-a455ba0cdd95.png
вороний холм вов	Протвино (Россия)	https://tv-soyuz.ru/news/na-voroney-gore-ustanovili-krest-v-pamyat-o-vov	https://storage.mds.yandex.net/get-mturk/145915/6a814dbd-e441-4f15-8b34-2e6d6b196b3c.png
вороний холм вов	Протвино (Россия)	http://www.headwow.ru/?quest=163	https://storage.mds.yandex.net/get-mturk/40190/f4b62983-1911-43aa-a855-7e2bcb43cb67.png
вороний холм вов	Протвино (Россия)	https://base.opiums.eu/?object=111	https://storage.mds.yandex.net/get-mturk/57610/eb2045ca-cd63-4d20-8bac-362c44bc06ba.png
вороний холм вов	Протвино (Россия)	http://wow.blizzwiki.ru/index.php?title=%D0%A1%D1%83%D0%BC%D0%B5%D1%80%D0%B5%D1%87%D0%BD%D1%8B%D0%B9_%D0%BB%D0%B5%D1%81_(%D0%B4%D0%BE%D1%81%D1%82%D0%B8%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5)	https://storage.mds.yandex.net/get-mturk/153360/27d4a08c-8b7c-4ae6-8ad1-e0043b826e2a.png
вороний холм вов	Протвино (Россия)	https://www.BiblioFond.ru/view.aspx?id=800894	https://storage.mds.yandex.net/get-mturk/22497/8545928d-8871-4bd1-a2e7-0a3d81cee17f.png
asus m5a78l-m lx3 обзор	Земля	https://market.yandex.ru/product--materinskaia-plata-asus-m5a78l-m-lx3/7867662/spec	https://storage.mds.yandex.net/get-mturk/55848/a141d9e1-d667-41e1-a7c0-75a42f37dd5d.png
asus m5a78l-m lx3 обзор	Земля	https://www.nix.ru/autocatalog/motherboards_asustek/ASUS-M5A78L-M-LX3-RTL-SocketAM3-plus-AMD-760G-PCI-E-plus-SVGA-plus-GbLAN-SATA-RAID-MicroATX-2DDR3_139673.html	https://storage.mds.yandex.net/get-mturk/23442/e8a47c1e-04eb-4af9-9aaf-38e29ccb1d59.png
asus m5a78l-m lx3 обзор	Земля	https://www.citilink.ru/catalog/computers_and_notebooks/parts/motherboards/695156/obzory/	https://storage.mds.yandex.net/get-mturk/52137/bb2d9f3f-2580-4bb2-af94-617d94ab2b24.png
asus m5a78l-m lx3 обзор	Земля	http://www.testfreaks.ru/motherboards/asus-m5a78l-m-lx3/	https://storage.mds.yandex.net/get-mturk/15206/f03c94c8-e4a9-4394-9937-123fe958cced.png
