INPUT:name	INPUT:position	AI:latitude	AI:longitude
(Часы 4С на опоре) Серпуховская Б.ул., д4-16 сквер у памятника Наваи	55.729077,37.624941	55.729077	55.729077
(Часы 4С на опоре) Арбат Новый ул., сквер	55.752332,37.582309	55.752332	37.582309
(Часы 4С на опоре) Полуярославская наб., сквер Ак.Сахарова	55.751121,37.656911	55.751121	37.656911
(Часы 4С на опоре) Калужская пл., сквер	55.729191,37.613133	55.729191	37.613133
(Часы 4С на опоре) Ленинградский просп., напротив д13 разделительная полоса (нечетная сторона)	55.781263,37.574216	55.781263	37.574216
(Часы 4С на опоре) Ленинградский просп., пересечение с 1-м Боткинским пр.	55.786767,37.561527	55.786767	37.561527
(Часы 4С на опоре) Ленинградский просп., метро Аэропорт (нечетная сторона)	55.800396,37.530348	55.800396	37.530348
(Часы 2С на опоре) Хоромный туп., д4 сквер у метро «Красные ворота»	55.768197,37.649080	55.768197	37.649080
(Часы 2С на опоре) Цезаря Куникова пл., сквер, ул.Покровка д47 сквер у центрального дома предпринимателей	55.764050,37.655010	55.764050	37.655010
(Часы 2С на опоре) Сивяков пер., съезд на набережную	55.749247,37.656421	55.749247	37.656421
(Часы 2С на опоре) Зубовская площадь, сквер у счетной палаты	55.738510,37.585446	55.738510	37.585446
(Часы 2С на опоре) Цветной бульв., сквер	55.767685,37.622120	55.767685	37.622120
(Часы 2С на опоре) Останкинская 1-я ул., КПСК «Останкино» (часы-3)	55.824044,37.604064	55.824044	37.604064
