ID	global_id	Name	Location	Type	PhotoClockType	Power	AdmArea	X_MSK77	Y_MSK77	geodata_center	geoarea
81317	1016708157	Часы	Серпуховская Б.ул., д4-16 сквер у памятника Наваи	Часы 4С на опоре		0.4	Центральный административный округ	7960.87242	6916.44306	0101000000BA7EEC13FECF4240AC04246752DD4B40	
81322	1016708162	Часы	Арбат Новый ул., сквер	Часы 4С на опоре		0.4	Центральный административный округ	5279.3001	9501.60138	0101000000C638FC1D89CA4240514EBF6D4CE04B40	
81324	1016708164	Часы	Полуярославская наб., сквер Ак.Сахарова	Часы 4С на опоре		0.4	Центральный административный округ	9963.94128	9374.84748	01010000003E81BAAB15D44240D59D38BE24E04B40	
83068	1016708168	Часы	Калужская пл., сквер	Часы 4С на опоре		0.4	Центральный административный округ	7218.99384	6927.90666	01010000000D680D2A7BCE42408BDDDF2656DD4B40	
84302	1016708171	Часы	Ленинградский просп., напротив д13 разделительная полоса (нечетная сторона)	Часы 4С на опоре		0.4	Северный административный округ	4767.66492	12722.1273	010100000079E121EB7FC94240FA760D7000E44B40	
84304	1016708173	Часы	Ленинградский просп., пересечение с 1-м Боткинским пр.	Часы 4С на опоре		0.4	Северный административный округ	3970.97352	13334.13468	0101000000810ADC22E0C742405D23C3C9B4E44B40
84308	1016708177	Часы	Ленинградский просп., метро Аэропорт (нечетная сторона)	Часы 4С на опоре		0.4	Северный административный округ	2014.28772	14850.24954	010100000073BF5B79E2C34240DEFE1B6173E64B40
81306	1016708152	Часы	Хоромный туп., д4 сквер у метро «Красные ворота»	Часы 2С на опоре		0.2	Центральный административный округ	9468.14141999999	11274.9762	01010000000609B71315D342403B55784B54E24B40	
81314	1016708155	Часы	Цезаря Куникова пл., сквер, ул.Покровка д47 сквер у центрального дома предпринимателей	Часы 2С на опоре		0.2	Центральный административный округ	9841.35534	10814.0304	0101000000392F8E61D7D3424086736B64CCE14B40
81318	1016708158	Часы	Сивяков пер., съезд на набережную	Часы 2С на опоре		0.2	Центральный административный округ	9933.62898	9166.12044	0101000000A3CB569B05D44240FDD81755E7DF4B40
81321	1016708161	Часы	Зубовская площадь, сквер у счетной палаты	Часы 2С на опоре		0.2	Центральный административный округ	5478.14874	7962.99606	01010000009745A5E5EFCA4240FCADCE8687DE4B40
81323	1016708163	Часы	Цветной бульв., сквер	Часы 2С на опоре		0.2	Центральный административный округ	7776.09522	11214.63582	01010000003E7FD7A8A1CF42404A81C48243E24B40	
82641	1016708167	Часы	Останкинская 1-я ул., КПСК «Останкино» (часы-3)	Часы 2С на опоре		0.2	Северо-Восточный административный округ	6633.30588	17487.69432	0101000000D5CDEFF951CD42402B58E3487AE94B40	
