(Type) Location	X_MSK77,Y_MSK77	X_MSK77	Y_MSK77
(Часы 4С на опоре) Серпуховская Б.ул., д4-16 сквер у памятника Наваи	7960.87242,6916.44306	7960.87242	6916.44306
(Часы 4С на опоре) Арбат Новый ул., сквер	5279.3001,9501.60138	5279.3001	9501.60138
(Часы 4С на опоре) Полуярославская наб., сквер Ак.Сахарова	9963.94128,9374.84748	9963.94128	9374.84748
(Часы 4С на опоре) Калужская пл., сквер	7218.99384,6927.90666	7218.99384	6927.90666
(Часы 4С на опоре) Ленинградский просп., напротив д13 разделительная полоса (нечетная сторона)	4767.66492,12722.1273	4767.66492	12722.1273
(Часы 4С на опоре) Ленинградский просп., пересечение с 1-м Боткинским пр.	3970.97352,13334.13468	3970.97352	13334.13468
(Часы 4С на опоре) Ленинградский просп., метро Аэропорт (нечетная сторона)	2014.28772,14850.24954	2014.28772	14850.24954
(Часы 2С на опоре) Хоромный туп., д4 сквер у метро «Красные ворота»	9468.14141999999,11274.9762	9468.14141999999	11274.9762
(Часы 2С на опоре) Цезаря Куникова пл., сквер, ул.Покровка д47 сквер у центрального дома предпринимателей	9841.35534,10814.0304	9841.35534	10814.0304
(Часы 2С на опоре) Сивяков пер., съезд на набережную	9933.62898,9166.12044	9933.62898	9166.12044
(Часы 2С на опоре) Зубовская площадь, сквер у счетной палаты	5478.14874,7962.99606	5478.14874	7962.99606
(Часы 2С на опоре) Цветной бульв., сквер	7776.09522,11214.63582	7776.09522	11214.63582
(Часы 2С на опоре) Останкинская 1-я ул., КПСК «Останкино» (часы-3)	6633.30588,17487.69432	6633.30588	17487.69432
