INPUT:name	INPUT:position	OUTPUT:photo	OUTPUT:comment	OUTPUT:worker_coordinates	GOLDEN:comment	GOLDEN:worker_coordinates	HINT:text	HINT:default_language	ASSIGNMENT:status	AI:latitude	AI:longitude	ACCEPT:verdict	ACCEPT:comment
(Часы 2С на опоре) Цветной бульв., сквер	55.767685,37.622120								EXPIRED	55.767685	37.62212		
(Часы 2С на опоре) Останкинская 1-я ул., КПСК «Останкино» (часы-3)	55.824044,37.604064	cf144551-959b-49e7-b76c-6ae9b71ba151,7ad2ee13-051d-40a0-bf24-68daae505ca6,e13b9144-e445-463d-9901-4ca8bf4a9077	Часы работают, показывают точное время. Циферблат с обеих сторон.	55.82397515055095,37.60425725727426					APPROVED	55.824044	37.604064	+	
(Часы 2С на опоре) Цветной бульв., сквер	55.767685,37.622120	05c3d2be-3359-4a5e-b7d1-1e5d85a814dd,76a48fca-9767-4354-baf1-b87b86ecca14,baf1b93f-ef0d-4e44-b139-2480a393f52a	Часы работают, но отстают на 1 минуту. Циферблат с обеих сторон.	55.76770347344589,37.6221796000878					APPROVED	55.767685	37.62212	+	
(Часы 2С на опоре) Хоромный туп., д4 сквер у метро «Красные ворота»	55.768197,37.649080								EXPIRED	55.768197	37.64908		
(Часы 2С на опоре) Цезаря Куникова пл., сквер, ул.Покровка д47 сквер у центрального дома предпринимателей	55.764050,37.655010	87e3504e-75a8-4cfe-83f7-907d05504bf8,8f7b4a84-a7b3-45a9-882a-73f595c92592,525cd199-7172-4f85-bb76-1819068da993,9cac1610-e864-44a3-88b3-110667851383	Отстают на 1 минуту	55.7638868,37.6555663					APPROVED	55.76405	37.65501	+	
(Часы 4С на опоре) Полуярославская наб., сквер Ак.Сахарова	55.751121,37.656911	73dadbc9-f7ae-400c-881c-ee59c7cb50e8,29480784-7b96-44ae-8354-0428ff6d510d,1e46b774-6d2b-440d-af59-c60d328c780b,75a192e2-7ba0-4c06-9ac3-3ae2b6b5745f,d094d862-0810-4936-a749-0b9e3d91de6f,683ef93d-7a48-40f5-bf36-05547f1c3549	Идут точно 	55.7510428,37.6555538					APPROVED	55.751121	37.656911	+	
(Часы 2С на опоре) Сивяков пер., съезд на набережную	55.749247,37.656421	052e98e1-22ce-46cf-986a-5d6ba0e9c0f9,08c8f057-d8f4-45f6-a516-17cae44ad21c,4142b527-3fa9-4bc9-91c1-4bcaf2e7f11b,b38d03c5-1c02-4ac8-9999-ba79aaf655f0,fb62d5c6-bf1e-4c64-9916-2666411fedfc	Идут точно 	55.7492821,37.6559544					APPROVED	55.749247	37.656421	+	
(Часы 4С на опоре) Ленинградский просп., напротив д13 разделительная полоса (нечетная сторона)	55.781263,37.574216								SKIPPED	55.781263	37.574216		
(Часы 4С на опоре) Ленинградский просп., напротив д13 разделительная полоса (нечетная сторона)	55.781263,37.574216	6e9e8dcb-2df3-4c66-b815-59081a3fba00,f9d63580-2cc1-4efa-904c-ac7ccfbf09b9,500811b5-f8b9-4329-aea6-e76c104b076c,e835f585-c4f2-4c9f-a447-2a260d4c0393,42c16fe5-1d6c-4d3d-a6a0-63b626d152ab	"Часы работают.
Мне показалось, что на 1 минуту спешат относительно сайта."	55.78140174043903,37.57405372340006					APPROVED	55.781263	37.574216	+	
(Часы 4С на опоре) Ленинградский просп., пересечение с 1-м Боткинским пр.	55.786767,37.561527	553269ef-1d97-43ff-bad6-5b955b964f28,da006118-52a3-4bbd-ac0d-df190194260a,522910c6-6ec3-4ae4-be8f-622df6569b90,eac91091-5623-4923-979e-39b54a0b897a,fe5bec29-faca-460d-9ca0-e6f30b085f87,f4ddca61-3c46-4d08-83eb-6c8043319220	Часы работают, время совпадает.	55.78678547875563,37.56144038405042					APPROVED	55.786767	37.561527	+	
(Часы 4С на опоре) Ленинградский просп., метро Аэропорт (нечетная сторона)	55.800396,37.530348	4c446402-f174-4eb4-aad0-71cbd6a3b2be,a3145a43-84e7-4d31-aedc-323a9b579b45,1c291c05-f032-49d7-8c33-c3505289dcce,9d3ff7c8-33ac-4f1b-b1e4-6993a18df1b7,800a8b92-6ea7-42b0-8801-529d0f0f0abd	Часы работают, время совпадает	55.80050820489954,37.530482998152756					APPROVED	55.800396	37.530348	+	
(Часы 4С на опоре) Калужская пл., сквер	55.729191,37.613133	03c525f1-48a9-4e88-8888-b8534e8e87ca,b14d639c-347f-41a5-bccd-63d6f6ba5d90,a1e688f4-3ddb-4b0d-a42e-f787aff328b1	Часы находятся с другой стороны фонтана	55.7287336,37.6137152					APPROVED	55.729191	37.613133	+	
(Часы 4С на опоре) Арбат Новый ул., сквер	55.752332,37.582309	3f0c602f-4a29-4de9-8b4f-a6f1d32b3675,b6f94cba-45db-4c73-a3b0-4dde6062ca51,aa0778f8-95c5-45db-a1d7-fbd91d841471	На данных часах циферблат с четырёх сторон. Часы в форме куба. Часы работают, отстают на 1 минуту.	55.75235745664371,37.58231846773404					APPROVED	55.752332	37.582309	+	
(Часы 2С на опоре) Зубовская площадь, сквер у счетной палаты	55.738510,37.585446	4b63970e-a90a-4c17-bc68-623c46c2a96d,aead14a6-488f-4228-8e23-c6aab31855e9	Часы работают. Идут точно.	55.73850024587499,37.58532527396642					APPROVED	55.73851	37.585446	+	
